Unnamed: 0,optA,value,slr,L,s1,lon,lat
Maldives3233,fullRetreat,1405.83324664,0.48218,0.45299999999999996,0.972,73.582,2.957
Maldives3234,fullRetreat,1215.75680728,0.48218,0.504,0.972,73.581,2.9530000000000003
Maldives3235,fullRetreat,1829.58163898,0.48218,2.114,1.712,73.587,2.96
Maldives3236,fullProtect,3.8191800000000002,0.48218,0.133,0.978,73.585,2.965
Maldives3237,fullProtect,0.81918,0.48218,0.23199999999999998,0.978,73.584,2.963
Maldives9768,fullRetreat,1426.75909318,0.48218,6.393,0.985,73.40899999999999,2.7939999999999996
Maldives9770,fullRetreat,1433.73437535,0.48218,1.53,0.988,73.403,2.772
Maldives9772,fullRetreat,1334.33660431,0.48218,2.097,1.03,73.428,2.826
Maldives9773,fullRetreat,1083.22644589,0.48218,1.943,1.03,73.436,2.833
Maldives9774,fullRetreat,1285.50962906,0.48218,1.351,1.008,73.442,2.8360000000000003
Maldives9780,fullRetreat,1287.25344961,0.48218,4.593,1.213,73.565,2.929
Maldives9781,fullRetreat,2127.7749520999996,0.48218,4.008,1.986,73.565,2.9539999999999997
Maldives9782,fullProtect,0.8391799999999999,0.48218,1.14,1.949,73.563,2.91
Maldives9783,fullProtect,0.82868,0.48218,0.9079999999999999,1.916,73.569,2.93
Maldives9784,fullRetreat,2030.12100161,0.48218,2.324,1.8969999999999998,73.56,2.903
Maldives9735,fullRetreat,1027.42418846,0.48218,1.271,1.0,72.919,2.371
Maldives9740,fullRetreat,1029.16800901,0.48218,4.612,1.002,72.925,2.331
Maldives9741,fullRetreat,1400.60178501,0.48218,1.972,1.0,72.954,2.3209999999999997
Maldives9742,fullRetreat,1400.60178501,0.48218,2.248,1.0,72.953,2.299
Maldives9744,fullRetreat,1402.34560555,0.48218,3.76,1.0,72.939,2.279
Maldives9746,fullRetreat,1219.24444837,0.48218,1.395,1.002,72.976,2.2
Maldives9747,fullRetreat,1411.06470827,0.48218,0.765,1.002,72.98,2.195
